Bib_ID,Details,Year_start,Year_end,Publication,Loc_code,Target,Stats,Community_env,Diversity_assessment,Ice_extent,Ice_type,Ice_concentration,Ice_thickness,Other,Nutrients,Light,Stratification,Temperature_water,Melt_time,Community_structure,Trophic,RTA_ice,RTA_topo,RTA_tax,RTA_troph,RTA_productivity
Ardyna2020b,TRUE,2004,2016,2020,"BB,BS,CA,CS,NB",UIB,"KWH, Spearman",Spearman,FALSE,FALSE,TRUE,TRUE,TRUE,"nutrients, environmental, chl a",TRUE,TRUE,TRUE,FALSE,TRUE,shift from diatoms to Phaecocystis,NA,TRUE,FALSE,TRUE,FALSE,FALSE
Ardyna2020c,TRUE,1970,2017,2020,AO,"UIB, pelagic phytoplankton",qualitative,NA,NA,TRUE,TRUE,FALSE,TRUE,"nutrients, environmental, wildfires",TRUE,TRUE,TRUE,TRUE,TRUE,diatom dominated to picoeucaryote dominated,"more mixotrophs, fewer strict phototrophs",TRUE,FALSE,TRUE,TRUE,TRUE
Blais2017,TRUE,2006,2011,2017,"BB,BS",,,,,,,,,,,,,,,,,,,,,
Flores2019,TRUE,2012,2012,2019,CAB,"UIB, metazoans","PCA, ANOVA, THSD, CCA, CCA-ANOVA",CCA,FALSE,FALSE,FALSE,TRUE,TRUE,"nutrients, MLD, chl a",FALSE,TRUE,TRUE,FALSE,FALSE,higher abundance of dinoflagellates,"shift to heterotrophs, more mixotrophs",TRUE,FALSE,TRUE,TRUE,TRUE
Lasternas2010,TRUE,2007,2007,2010,FS,pelagic phytoplankton,"Spearman, THSD, linear regreassion",Spearman,FALSE,FALSE,FALSE,FALSE,FALSE,"temoerature, salinity",FALSE,FALSE,TRUE,TRUE,TRUE,shift from diatoms to Phaecocystis,NA,TRUE,FALSE,TRUE,FALSE,TRUE
Lin2018,TRUE,2010,2010,2018,"CA,CS",pelagic phytoplankton,"richness, dominance, CANOCO, DCA, CCA",CCA,TRUE,TRUE,FALSE,FALSE,TRUE,"nutrients, environmental, chl a",TRUE,TRUE,FALSE,TRUE,TRUE,diatom species abundance changed with ice conditions,NA,TRUE,TRUE,TRUE,FALSE,FALSE
Neeley2018,TRUE,2011,2011,2018,"BS,CS","UIB, pelagic groups","CA, CCA, PCA",CCA,FALSE,TRUE,TRUE,FALSE,TRUE,"nutrients, environmental, chl a",TRUE,TRUE,TRUE,TRUE,TRUE,"sea ice favours large diatoms, sea ice presence explains four groups",NA,TRUE,TRUE,TRUE,FALSE,TRUE
Wang2018,TRUE,2010,2010,2018,"BS,ESS,CAB",Pelagic microphytoplankton,"Shannon-Wiener, Pielou-evenness, richness, dominance, Bray-Curtis, MDS, CCA",CCA,TRUE,TRUE,FALSE,TRUE,TRUE,"nutrients, environmental, chl a",TRUE,FALSE,TRUE,TRUE,FALSE,"found diatoms, but will change",NA,TRUE,TRUE,TRUE,FALSE,TRUE
Wang2018a,TRUE,2010,2010,2018,BEB,pelagic phytoplankton,"Shannon-Wiener, Pielou-evenness, richness, dominance, Bray-Curtis, MDS",Pearson,TRUE,TRUE,FALSE,FALSE,FALSE,"nutrients, environmental, chl a",TRUE,TRUE,TRUE,TRUE,FALSE,"diatoms dominated in abundance, but difference between shelf and deep-sea",NA,FALSE,TRUE,TRUE,FALSE,TRUE
