Tank_NO,Species,DPT,Food_conc,Particle_weight,NH_4,NO_3,NO_2,Group
1,mussel,0,0,0.0142,0.13,5.2,0.055,control
2,mussel,0,0,0.0067,0.15,5.16,0.043,control
3,mussel,0,0,0.0096,0.07,4.28,0.046,control
4,oyster,0,0,0.0091,0.02,4.08,0.023,control
5,oyster,0,0,0.0085,0.05,4.48,0.031,control
6,oyster,0,0,0.0081,0.03,5.44,0.031,control
7,mussel,0,12,0.0884,0.45,5.32,0.056,fed
8,mussel,0,12,0.0814,0.34,5.2,0.041,fed
9,mussel,0,12,0.0996,0.26,5.72,0.039,fed
10,oyster,0,12,0.1107,0.23,3.8,0.028,fed
11,oyster,0,12,0.0746,0.33,3.688,0.015,fed
12,oyster,0,12,0.1015,0.3,5.24,0.032,fed
13,mussel,0,15,0.0807,0.19,5.52,0.021,fed
14,mussel,0,15,0.09555,0.27,5.44,NA,fed
15,mussel,0,15,0.12615,0.29,5.76,0.037,fed
16,oyster,0,15,0.1114,0.2,5.32,0.014,fed
17,oyster,0,15,0.2045,0.09,5.24,0.022,fed
18,oyster,0,15,0.122,0.39,5.4,0.02,fed
1,mussel,1,0,NA,0.16,NA,0.088,control
2,mussel,1,0,NA,0.17,NA,0.067,control
3,mussel,1,0,NA,0.22,NA,0.094,control
4,oyster,1,0,NA,0.08,NA,0.034,control
5,oyster,1,0,NA,0.08,NA,0.04,control
6,oyster,1,0,NA,0.07,NA,0.038,control
7,mussel,1,12,NA,0.12,NA,0.157,fed
8,mussel,1,12,NA,0.17,NA,0.123,fed
9,mussel,1,12,NA,0.11,NA,0.173,fed
10,oyster,1,12,NA,0.02,NA,0.109,fed
11,oyster,1,12,NA,0.15,NA,0.074,fed
12,oyster,1,12,NA,0.05,NA,0.091,fed
13,mussel,1,15,NA,0.27,NA,0.124,fed
14,mussel,1,15,NA,0.23,NA,0.135,fed
15,mussel,1,15,NA,0.21,NA,0.1,fed
16,oyster,1,15,NA,-0.02,NA,0.068,fed
17,oyster,1,15,NA,0.08,NA,0.087,fed
18,oyster,1,15,NA,0.05,NA,0.073,fed
1,mussel,2,0,NA,0.2,NA,0.126,control
2,mussel,2,0,NA,0.26,NA,0.096,control
3,mussel,2,0,NA,0.33,NA,0.158,control
4,oyster,2,0,NA,0.1,NA,0.046,control
5,oyster,2,0,NA,0.14,NA,0.052,control
6,oyster,2,0,NA,0.11,NA,0.045,control
7,mussel,2,12,NA,0,NA,0.057,fed
8,mussel,2,12,NA,0.04,NA,0.132,fed
9,mussel,2,12,NA,0.01,NA,0.268,fed
10,oyster,2,12,NA,0.01,NA,0.077,fed
11,oyster,2,12,NA,0.03,NA,0.124,fed
12,oyster,2,12,NA,0,NA,0.045,fed
13,mussel,2,15,NA,0.05,NA,0.234,fed
14,mussel,2,15,NA,-0.01,NA,0.161,fed
15,mussel,2,15,NA,-0.01,NA,0.151,fed
16,oyster,2,15,NA,0.05,NA,0.173,fed
17,oyster,2,15,NA,0,NA,0.122,fed
18,oyster,2,15,NA,0,NA,0.137,fed
1,mussel,3,0,0.0058,0.14,3.81,0.18,control
2,mussel,3,0,0.0065,0.21,3.89,0.14,control
3,mussel,3,0,0.0067,0.16,3.9,0.254,control
4,oyster,3,0,0.006,0.12,3.81,0.062,control
5,oyster,3,0,0.0057,0.09,3.82,0.065,control
6,oyster,3,0,0.0058,0.09,3.83,0.056,control
7,mussel,3,12,0.009,0.12,1.27,0.081,fed
8,mussel,3,12,0.012,0.07,1.08,0.054,fed
9,mussel,3,12,0.0137,0.06,1.13,0.043,fed
10,oyster,3,12,0.0395,0.09,1.04,0.104,fed
11,oyster,3,12,0.0097,0.07,1.38,0.06,fed
12,oyster,3,12,0.0266,0.12,1.49,0.078,fed
13,mussel,3,15,0.0349,0.11,1.01,0.052,fed
14,mussel,3,15,0.0078,0.08,1.05,0.07,fed
15,mussel,3,15,0.0335,0.12,1.18,0.549,fed
16,oyster,3,15,0.0081,0.06,1.2,0.163,fed
17,oyster,3,15,0.0087,0.11,1.31,0.134,fed
18,oyster,3,15,0.0109,0.06,1.09,0.048,fed
